ionIdx,ionMz,,ionActive,ionQualTIC,ionAverageInt,mz difference,formula,ion,score,name,synonym,hmdb_id,kegg_id,other_ids
72,173.1039586,173.104,TRUE,0.304549769,7321.298349,0.000442023,C6H14N4O2,-H(-),100,L-Arginine,(S)-2-Amino-5-[(aminoiminomethyl)amino]pentanoate; (S)-2-Amino-5-[(aminoiminomethyl)amino]pentanoic acid; (S)-2-amino-5-[(aminoiminomethyl)amino]-Pentanoate; (S)-2-amino-5-[(aminoiminomethyl)amino]-Pentanoic acid; 2-Amino-5-guanidinovalerate; 2-Amino-5-guanidinovaleric acid; 5-[(Aminoiminomethyl)amino]-L-Norvaline; Arginine; L-(+)-Arginine; L-a-Amino-D-guanidinovalerate; L-a-Amino-D-guanidinovaleric acid; L-alpha-Amino-delta-guanidinovalerate; L-alpha-Amino-delta-guanidinovaleric acid; N5-(aminoiminomethyl)-L-Ornithine,HMDB00517,C00062,
73,174.0407149,174.0407,TRUE,0.720848143,13292.63164,7.36671E-05,C6H9NO5,-H(-),100,N-Acetyl-L-aspartic acid,(2S)-2-acetamidobutanedioate; (2S)-2-acetamidobutanedioic acid; (S)-2-(acetylamino)butanedioate; (S)-2-(acetylamino)butanedioic acid; (S)-2-(acetylamino)succinic acid; Acetyl-L-aspartate; Acetyl-L-aspartic acid; Acetylaspartate; Acetylaspartic acid; L-N-Acetylaspartate; L-N-Acetylaspartic acid; N-Acetyl-L-aspartate; N-Acetyl-L-aspartic acid; N-Acetyl-S-aspartate; N-Acetyl-S-aspartic acid; N-Acetylaspartate; N-Acetylaspartic acid; NAA,HMDB00812,C01042,
73,174.0407149,174.0407,TRUE,0.720848143,13292.63164,7.36671E-05,C6H9NO5,-H(-),100,N-Formyl-L-glutamic acid,(2S)-2-(formylamino)pentanedioate; (2S)-2-(formylamino)pentanedioic acid; (2S)-2-formamidopentanedioate; (2S)-2-formamidopentanedioic acid; N-Formyl-L-glutamate; N-Formyl-L-glutamic acid,HMDB03470,C01045,
74,174.0881023,174.0881,TRUE,0.633474708,9534.616363,0.000302884,C6H13N3O3,-H(-),100,Citrulline,(2S)-2-amino-5-(carbamoylamino)pentanoate; (2S)-2-amino-5-(carbamoylamino)pentanoic acid; (S)-2-Amino-5-ureidopentanoate; (S)-2-Amino-5-ureidopentanoic acid; (S)-2-amino-5-(aminocarbonyl)aminopentanoate; (S)-2-amino-5-(aminocarbonyl)aminopentanoic acid; 2-Amino-5-uredovalerate; 2-Amino-5-uredovaleric acid; 2-Amino-5-ureidovalerate; 2-Amino-5-ureidovaleric acid; A-Amino-D-ureidovalerate; A-Amino-D-ureidovaleric acid; Amino-ureidovalerate; Amino-ureidovaleric acid; CIR; CIT; Cytrulline; D-Ureidonorvaline; DL-citrulline; Gammaureidonorvaline; H-Cit-oh; L(+)-2-Amino-5-ureidovalerate; L(+)-2-Amino-5-ureidovaleric acid; L(+)-Citrulline; L-2-Amino-5-ureido-valerate; L-2-Amino-5-ureido-valeric acid; L-2-Amino-5-ureidovalerate; L-2-Amino-5-ureidovaleric acid; L-Citrulline; L-Cytrulline; L-N5-carbamoyl-Ornithine; N()-Carbamylornithine; N(5)-(Aminocarbonyl)-DL-Ornithine; N(delta)-Carbamylornithine; N-Carbamylornithine; N5-(Aminocarbonyl)-L-ornithine; N5-(Aminocarbonyl)ornithine; N5-(aminocarbonyl)-Ornithine; N5-Carbamoyl-L-ornithine; N5-carbamoylornithine; N5-carbamylornithine; N<SUP>5</SUP>-(aminocarbonyl)ornithine; ND-carbamylornithine; Ndelta-carbamy-ornithine; Ndelta-carbamylornithine; Ngamma-carbamylornithine; Sitrulline; Ureidonorvaline; Ureidovalerate; Ureidovaleric acid; alpha-Amino-delta-ureidovalerate; alpha-Amino-delta-ureidovaleric acid; alpha-Amino-gamma-ureidovalerate; alpha-Amino-gamma-ureidovaleric acid; delta-Ureidonorvaline,HMDB00904,C00327,
75,175.0247712,175.0248,TRUE,0.84847188,3334943.554,3.36507E-05,C6H8O6,-H(-),93,Ascorbic acid,(+)-Sodium L-ascorbate; (+)-ascorbate; (+)-ascorbic acid; 3-Keto-L-gulofuranolactone; 3-Oxo-L-gulofuranolactone; Adenex; Allercorb; Antiscorbic vitamin; Antiscorbutic vitamin; Arco-cee; Ascoltin; Ascor-B.I.D.; Ascorb; Ascorbajen; Ascorbate; Ascorbic acid; Ascorbicab; Ascorbicap; Ascorbicin; Ascorbin; Ascorbutina; Ascorin; Ascorteal; Ascorvit; C-Level; C-Long; C-Quin; C-Span; C-Vimin; Cantan; Cantaxin; Catavin C; Ce lent; Ce-mi-lin; Ce-vi-sol; Cebicure; Cebid; Cebion; Cebione; Cecon; Cee-caps TD; Cee-vite; Cegiolan; Ceglion; Ceklin; Celaskon; Celin; Cell C; Cemagyl; Cemill; Cenetone; Cenolate; Cereon; Cergona; Cescorbat; Cetamid; Cetane; Cetane-caps TC; Cetane-caps TD; Cetebe; Cetemican; Cevalin; Cevatine; Cevex; Cevi-bid; Cevimin; Cevital; Cevitamate; Cevitamic acid; Cevitamin; Cevitan; Cevitex; Cewin; Chewcee; Ciamin; Cipca; Citriscorb; Citrovit; Colascor; Concemin; Davitamon C; Dora-C-500; Duoscorb; Ferrous ascorbate; HiCee; Hybrin; Ido-C; Juvamine; Kangbingfeng; Kyselina askorbova; L(+)-Ascorbate; L(+)-Ascorbic acid; L-(+)-Ascorbate; L-(+)-Ascorbic acid; L-3-Ketothreohexuronic acid lactone; L-Ascorbate; L-Ascorbic acid; L-Lyxoascorbate; L-Lyxoascorbic acid; L-Threo-ascorbic acid; L-Xyloascorbate; L-Xyloascorbic acid; Laroscorbine; Lemascorb; Liqui-cee; Meri-c; Natrascorb; Natrascorb injectable; Planavit C; Proscorbin; Redoxon; Ribena; Ronotec 100; Rontex 100; Roscorbic; Rovimix C; Scorbacid; Scorbu C; Scorbu-C; Secorbate; Sodascorbate; Suncoat VC 40; Testascorbic; VASC; Vicelat; Vicin; Vicomin C; Viforcit; Viscorin; Viscorin 100M; Vitace; Vitacee; Vitacimin; Vitacin; Vitamin C; Vitamisin; Vitascorbol; Xitix; gamma-Lactone L-threo-Hex-2-enonate; gamma-Lactone L-threo-Hex-2-enonic acid,HMDB00044,C00072,
75,175.0247712,175.0248,TRUE,0.84847188,3334943.554,3.36507E-05,C6H8O6,-H(-),93,"D-Glucurono-6,3-lactone","D-Glucurone; D-Glucuronic acid; D-Glucuronic acid lactone (van); D-Glucurono-3,6-lactone; D-Glucuronolactone; Dicurone; Glucofuranurono-6,3-lactone; Glucoxy; Glucurolactone; Glucuron; Glucurone; Glucuronic acid lactone; Glucuronolactone (van); Glucuronosan; Gluronsan; Glycurone; Guronsan (van); Reulatt S.S.",HMDB06355,C02670,
76,177.040554,177.0406,TRUE,0.674746514,18838.52537,-9.99299E-05,C6H10O6,-H(-),100,Gluconolactone,"1,5-D-Gluconolactone; 1,5-Gluconolactone; 1,5-delta-Gluconolactone; 3,4,5-Trihydroxy-6-hydroxymethyl-tetrahydro-pyran-2-one; D(+)-Gluconic acid gamma-lactone; D-(+)-Gluconic acid D-lactone; D-(+)-Gluconic acid-delta lactone; D-Aldonolactone; D-Gluconic acid 1,5-lactone; D-Gluconic acid D-lactone; D-Gluconic acid delta-lactone; D-Gluconic acid lactone; D-Gluconic acid-1,5-lactone; D-Gluconic acid-delta-lactone; D-Gluconic delta-lactone; D-Glucono-1,5-lactone; D-Glucono-D-lactone; D-Gluconolactone; D-delta-Gluconolactone; Fujiglucon; Glucarolactone; Gluconate, lactone; Gluconic acid lactone; Gluconic delta-lactone; Gluconic lactone; Glucono 1,5-lactone; Glucono delta lactone; Glucono delta-lactone; Glucono gamma-lactone; Gluconolactone; beta-Glucono-1,5-Lactone; delta-(+)-Gluconic acid D-lactone; delta-(+)-Gluconic acid-delta lactone; delta-Aldonolactone; delta-D-Gluconolactone; delta-Gluconic acid 1,5-lactone; delta-Gluconic acid D-lactone; delta-Gluconic acid delta-lactone; delta-Gluconic acid lactone; delta-Gluconic acid-1,5-lactone; delta-Gluconic acid-delta-lactone; delta-Gluconic delta-lactone; delta-Glucono-1,5-lactone; delta-Glucono-delta-lactone; delta-Gluconolactone; delta-delta-Gluconolactone; gamma-Gluconolactone",HMDB00150,C00198,
76,177.040554,177.0406,TRUE,0.674746514,18838.52537,-9.99299E-05,C6H10O6,-H(-),100,L-Gulonolactone,"L-(+)-Gulono-1,4-lactone; L-Gulonic acid gamma-lactone; L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; Reduced ascorbate; Reduced ascorbic acid; gamma-Gulonolactone",HMDB03466,C01040,
76,177.040554,177.0406,TRUE,0.674746514,18838.52537,0.000247972,C5H8N2O5,-H(-) [+2],31,Ureidosuccinic acid,2-Ureidobutanedioate; 2-Ureidobutanedioic acid; Carbamoylaspartic acid; Carbamyl-L-aspartic acid; Carbamylaspartic acid; L-N-Carbamoylaspartic acid; L-Ureidosuccinate; L-Ureidosuccinic acid; N-(Aminocarbonyl)-L-aspartic acid; N-Carbamoyl-L-aspartate; N-Carbamoyl-L-aspartic acid; N-Carbamoyl-S-aspartic acid; N-Carbamoylaspartate; N-Carbamoylaspartic acid; NCD; Ureidosuccinate,HMDB00828,C00438,
77,178.07175,178.0717,TRUE,0.618401945,4157.90385,0.000337002,C6H13NO5,-H(-),100,Glucosamine,"(+)-2-amino-2-deoxy-D-glucopyranose; (3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol; 2-Amino-2-deoxy-D-Glucose; 2-Amino-2-deoxy-D-glucopyranose; 2-Amino-2-deoxyglucose; 2-Aminoglucose; 2-Deoxy-2-amino-D-glucose; 2-Deoxy-2-aminoglucose; Chitosamine; Cosamin; D-(+)-Glucosamine; D-Glucosamine",HMDB01514,C00329,
78,179.0560998,179.0561,TRUE,0.857760578,394115.2729,3.48107E-06,C6H12O6,-H(-),100,D-Glucose,(+)-Glucose; Anhydrous dextrose; CPC hydrate; Cerelose; Cerelose 2001; Clearsweet 95; Clintose L; Corn sugar; D(+)-Glucose; Dextropur; Dextrose; Dextrosol; Glucodin; Glucolin; Glucose; Goldsugar; Grape sugar; Meritose; Roferose ST; Staleydex 111; Staleydex 95M; Tabfine 097(HS); Vadex,HMDB00122,C00031,
78,179.0560998,179.0561,TRUE,0.857760578,394115.2729,3.48107E-06,C6H12O6,-H(-),100,D-Galactose,(+)-Galactose; 5abp; 8abp; D-(+)-Galactose; D-Galactose; D-Hexose; GAL; GLA; GLC; Galactose; Galactose (NF); Hexose; alpha D-Galactose; alpha-D-Galactopyranose; alpha-D-Galactose,HMDB00143,C00984,
78,179.0560998,179.0561,TRUE,0.857760578,394115.2729,3.48107E-06,C6H12O6,-H(-),100,D-Mannose,(+)-mannose; (+-)-mannose; Carubinose; D(+)-Mannose; D-Mannopyranose; D-Mannose; DL-mannose; Mannose; Seminose,HMDB00169,C00159,
78,179.0560998,179.0561,TRUE,0.857760578,394115.2729,3.48107E-06,C6H12O6,-H(-),100,Myoinositol,"Iso-Inositol; MI; Meat sugar; Meso-Inositol; Myo-Inositol; Myoinosite; Myoinositol; Phaseomannite; Rat antispectacled eye factor; cis-1,2,3,5-trans-4,6-Cyclohexanehexol; i-Inositol",HMDB00211,C00137,
78,179.0560998,179.0561,TRUE,0.857760578,394115.2729,3.48107E-06,C6H12O6,-H(-),100,Beta-D-Glucose,b-D-Glucopyranose; b-Dextrose; b-Glucose; beta-D-Glucopyranose; beta-D-Glucose; beta-Dextrose; beta-Glucose; beta-delta-Glucopyranose,HMDB00516,C00221,
78,179.0560998,179.0561,TRUE,0.857760578,394115.2729,3.48107E-06,C6H12O6,-H(-),100,D-Fructose,D-(-)-Fructose; D-Fructose; FRU; Fructon; Fructose; Levulose; beta-D-Arabino-hexulose; beta-D-Fructofuranose; beta-D-Fructose; beta-Fruit sugar; beta-Levulose; beta-delta-Arabino-hexulose; beta-delta-Fructofuranose; beta-delta-Fructose; delta-(-)-Fructose; delta-Fructose,HMDB00660,C02336,
78,179.0560998,179.0561,TRUE,0.857760578,394115.2729,3.48107E-06,C6H12O6,-H(-),100,Alpha-D-Glucose,Hexopyranose; a-D-Glucopyranose; a-D-Glucose; a-Dextrose; a-Glucose; alpha-D-Glucopyranose; alpha-D-Glucose; alpha-Dextrose; alpha-Glucose; alpha-delta-Glucopyranose; alpha-delta-Glucose,HMDB03345,C00267,
79,180.0664519,180.0665,TRUE,0.654123485,168404.6328,0.000157724,C9H11NO3,-H(-),100,L-Tyrosine,(-)-a-Amino-p-hydroxyhydrocinnamate; (-)-a-Amino-p-hydroxyhydrocinnamic acid; (-)-alpha-Amino-p-hydroxyhydrocinnamate; (-)-alpha-Amino-p-hydroxyhydrocinnamic acid; (S)-(-)-Tyrosine; (S)-2-Amino-3-(p-hydroxyphenyl)propionate; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; (S)-3-(p-Hydroxyphenyl)alanine; (S)-Tyrosine; (S)-a-Amino-4-hydroxybenzenepropanoate; (S)-a-Amino-4-hydroxybenzenepropanoic acid; (S)-a-amino-4-hydroxy-Benzenepropanoate; (S)-a-amino-4-hydroxy-Benzenepropanoic acid; (S)-alpha-Amino-4-hydroxybenzenepropanoate; (S)-alpha-Amino-4-hydroxybenzenepropanoic acid; (S)-alpha-amino-4-hydroxy-Benzenepropanoate; (S)-alpha-amino-4-hydroxy-Benzenepropanoic acid; 2-Amino-3-(4-hydroxyphen yl)-2-amino-3-(4-hydroxyphenyl)-Propanoate; 2-Amino-3-(4-hydroxyphen yl)-2-amino-3-(4-hydroxyphenyl)-Propanoic acid; 3-(4-Hydroxyphenyl)-L-alanine; 4-Hydroxy-L-Phenylalanine; Benzenepropanoate; Benzenepropanoic acid; L-Tyrosine; L-p-Tyrosine; Tyr; Tyrosine; p-Tyrosine,HMDB00158,C00082,
80,181.0507104,181.0507,TRUE,0.629265905,22606.90569,-8.44702E-05,C9H10O4,-H(-),100,Homovanillic acid,(4-Hydroxy-3-methoxyphenyl)acetate; (4-Hydroxy-3-methoxyphenyl)acetic acid; 3-Methoxy-4-hydroxy-phenylacetic acid; 3-Methoxy-4-hydroxyphenylacetate; 3-Methoxy-4-hydroxyphenylacetic acid; 4-Hydroxy-3-methoxybenzeneacetate; 4-Hydroxy-3-methoxybenzeneacetic acid; 4-Hydroxy-3-methoxyphenylacetic acid; 4-hydroxy 3-methoxyphenylacetic acid; Homovanilate; Homovanilic acid; Homovanillate; Homovanillinic acid; Vanilacetate; Vanilacetic acid,HMDB00118,C05582,
80,181.0507104,181.0507,TRUE,0.629265905,22606.90569,-8.44702E-05,C9H10O4,-H(-),100,3-Methoxy-4-hydroxyphenylglycolaldehyde,"4-Hydroxy-3-methoxy Mandelaldehyde; 4-Hydroxy-3-methoxymandelaldehyde; 4-Hydroxy-3-methoxyphenylglycolaldehyde; a,4-Dihydroxy-3-methoxy-Benzeneacetaldehyde",HMDB04061,C05583,
81,182.0454699,182.0455,TRUE,0.584030807,16253.48507,0.00040457,C8H9NO4,-H(-),100,4-Pyridoxic acid,2-Methyl-3-hydroxy-4-carboxy-5-hydroxymethylpyridine; 3-Hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxylate; 3-Hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxylic acid; 3-Hydroxy-5-(hydroxymethyl)-2-methyl-Isonicotinate; 3-Hydroxy-5-(hydroxymethyl)-2-methyl-Isonicotinic acid; 3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinate; 3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinic acid; 3-Hydroxy-5-hydroxymethyl-2-methyl-isonicotinate; 3-Hydroxy-5-hydroxymethyl-2-methyl-isonicotinic acid; 3-Hydroxy-5-hydroxymethyl-2-methyl-isonicotinsaeure; 4-Pyridoxate; 4-Pyridoxinate; 4-Pyridoxinecarboxylate; 4-Pyridoxinecarboxylic acid; 4-Pyridoxinic acid; 4-Pyridoxinsaeure; 4-Pyridoxylate; 4-Pyridoxylic acid,HMDB00017,C00847,CHEBI:17405; CID:6723
82,183.0661544,183.0662,TRUE,0.492609948,5220.271351,0.00012075,C9H12O4,-H(-),100,Vanylglycol,"1-(4-Hydroxy-3-methoxyphenyl)-1,2-ethanediol; 3-Methoxy-4-hydroxyphenethylene glycol; 3-Methoxy-4-hydroxyphenyl glycol; 4-Hydroxy-3-methoxy-b-phenylglycol; 4-Hydroxy-3-methoxy-beta-phenylglycol; 4-Hydroxy-3-methoxyphenyl glycol; HMPG; Hydroxymethoxyphenylglycol; MHPG; MOPEG; Methoxyhydroxyphenylglycol; Vanylglycol",HMDB01490,C05594,
82,183.0661544,183.0662,TRUE,0.492609948,5220.271351,0.00042975,C5H15NO4P,-H(-),100,Phosphorylcholine,Choline phosphate; N-Trimethyl-2-aminoethylphosphonate; O-Phosphocholine; Phosphocholine; Phosphoryl-choline,HMDB01565,C00588,
83,184.0016317,184.0016,TRUE,0.686475098,64390.04268,8.38861E-06,C3H8NO6P,-H(-),100,Phosphoserine,3-O-Phosphoserine; Dexfosfoserine; Fosforina; L-3-Phosphoserine; L-O-Phosphoserine; L-O-Serine phosphate; L-Phosphoserine; L-Serine dihydrogen phosphate (ester); L-Serine phosphate; L-Serinephosphorate; L-Serinephosphoric acid; L-Seryl phosphate,HMDB00272,C01005,
83,184.0016317,184.0016,TRUE,0.686475098,64390.04268,8.38861E-06,C3H8NO6P,-H(-),100,DL-O-Phosphoserine,3-Phospho-1-serine; 3-Phospho-serine; 3-Phosphoserine; DL-O-Phosphorylserine; DL-O-Phosphoserine; DL-O-Serine phosphate; DL-Serine dihydrogen phosphate; DL-Serine monophosphorate; DL-Serine monophosphoric acid; Energoserina; O-Phospho-DL-serine; O-Phospho-L-serine; O-Phosphonoserine; P-Serine; Phosphorylserine; Phosphoserine; Serine phosphate; Serine-3-phosphate; Serophen,HMDB01721,C01005,
84,186.1600939,186.1601,TRUE,0.208522335,2484.107002,0.001084653,C9H21N3O,-H(-),87,N1-Acetylspermidine,1-N-Acetylspermidine; An N-acetylspermidine; N(1)-Acetylspermidine; N-(3-((4-Aminobutyl)amino)propyl)-Acetamide; N-(3-((4-Aminobutyl)amino)propyl)acetamide; N-Acetylspermidine; N1-Acetylspermidine,HMDB01276,C00612,
85,188.0561875,188.0562,TRUE,0.792556822,81784.57851,0.000250324,C7H11NO5,-H(-),100,N-Acetylglutamic acid,2-Acetamido-L-Glutaraldehydate; 2-Acetamido-L-Glutaraldehydic acid; Ac-Glu-OH; Acetyl-L-glutamate; Acetyl-L-glutamic acid; Acetyl-glutamate; Acetylglutamate; Acetylglutamic acid; DL-Acetylglutamate; DL-Acetylglutamic acid; N-Ac-Glu-OH; N-Acetyl L-glutamate; N-Acetyl L-glutamic acid; N-Acetyl-DL-glutamate; N-Acetyl-DL-glutamic acid; N-Acetyl-Glutamate; N-Acetyl-Glutamic acid; N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid; N-Acetyl-L-glutamic acid-gamma-semialdehyde; N-Acetylglutamate; N-Acetylglutamic acid; N-Acetylglutamic gamma-semialdehyde,HMDB01138,C00624,
86,189.0032596,189.0033,TRUE,0.538575172,6476.106628,0.000810161,C6H6O7,-H(-),100,Oxalosuccinic acid,Oxalosuccinate; Oxalosuccinic acid,HMDB03974,C05379,
87,191.0195913,191.0196,TRUE,0.474358648,161047.2033,0.000127675,C6H8O7,-H(-),100,Citric acid,"2-Hydroxy-1,2,3-propanetricarboxylate; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 3-Carboxy-3-hydroxypentane-1,5-dioate; 3-Carboxy-3-hydroxypentane-1,5-dioic acid; Aciletten; Anhydrous citrate; Anhydrous citric acid; Chemfill; Citraclean; Citrate; Citretten; Citric acid; Citro; E 330; Hydrocerol A; Kyselina citronova; Suby G; Uro-trainer; beta-Hydroxytricarballylate; beta-Hydroxytricarballylic acid",HMDB00094,C00158,
87,191.0195913,191.0196,TRUE,0.474358648,161047.2033,0.000127675,C6H8O7,-H(-),100,Isocitric acid,"1-Hydroxy-1,2,3-propanetricarboxylate; 1-Hydroxy-1,2,3-propanetricarboxylic acid; 1-Hydroxypropane-1,2,3-tricarboxylate; 1-Hydroxypropane-1,2,3-tricarboxylic acid; 1-Hydroxytricarballylate; 1-Hydroxytricarballylic acid; 3-Carboxy-2,3-dideoxy-1-hydroxypropan-1,2,3-tricarboxylate; 3-Carboxy-2,3-dideoxy-1-hydroxypropan-1,2,3-tricarboxylic acid; 3-Carboxy-2,3-dideoxy-Pentarate; 3-Carboxy-2,3-dideoxy-Pentaric acid; D-Isocitrate; I-CIT; Isocitrate; Threo-D(S)-iso-citrate; Threo-Ds-isocitrate",HMDB00193,C00311,
88,192.0681896,192.0682,TRUE,0.505151153,8918.072224,-0.001580021,C10H11NO3,-H(-),39,Phenylacetylglycine,((phenylacetyl)amino)acetic acid; N-(Phenylacetyl)-Glycine; N-(Phenylacetyl)glycine; N-Phenacetylglycine; N-Phenylacetylglycine; PAA; PAG; Phenaceturate; Phenaceturic acid; Phenacetylglycine; Phenylacetyl glycine; [(Phenylacetyl)amino]acetate; [(Phenylacetyl)amino]acetic acid,HMDB00821,C05598,
88,192.0681896,192.0682,TRUE,0.505151153,8918.072224,-0.001580021,C10H11NO3,-H(-),39,3-Carbamoyl-2-phenylpropionaldehyde,,HMDB60366,C16587,
88,192.0681896,192.0682,TRUE,0.505151153,8918.072224,-0.001580021,C10H11NO3,-H(-),39,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one",,HMDB60389,C16595,
89,193.0353174,193.0353,TRUE,0.826887638,14475.97043,5.08215E-05,C6H10O7,-H(-),100,D-Glucuronic acid,D-(+)-Glucuronate; D-(+)-Glucuronic acid; D-Glucuronate; GCU; Glucosiduronate; Glucosiduronic acid; Glucuronate; Glucuronic acid; alpha-D-Glucopyranuronic acid; alpha-D-Glucuronic acid; alpha-delta-Glucopyranuronic acid; alpha-delta-Glucuronic acid; delta-(+)-Glucuronate; delta-(+)-Glucuronic acid; delta-Glucuronate,HMDB00127,C00191,
89,193.0353174,193.0353,TRUE,0.826887638,14475.97043,5.08215E-05,C6H10O7,-H(-),100,Iduronic acid,Iduronate; L-Iduronate; L-Iduronic acid,HMDB02704,C06472,
89,193.0353174,193.0353,TRUE,0.826887638,14475.97043,5.08215E-05,C6H10O7,-H(-),100,3-Dehydro-L-gulonate,3-Dehydro-L-gulonic acid; L-Xylo-hex-3-ulosonic acid,HMDB06334,C00618,
90,195.0511885,195.0512,TRUE,0.915606529,751379.6221,-0.000171135,C6H12O7,-H(-),100,Gluconic acid,"2,3,4,5,6-Pentahydroxy-hexanoate; 2,3,4,5,6-Pentahydroxy-hexanoic acid; 2,3,4,5,6-Pentahydroxyhexanoate; 2,3,4,5,6-Pentahydroxyhexanoic acid; D-Gluco-hexonic acid; D-Gluconate; D-Gluconic acid; D-Gluconsaeure; D-Glukonsaeure; Dextronate; Dextronic acid; GCO; Glosanto; Gluconate; Gluconic acid; Glycogenate; Glycogenic acid; Glyconate; Glyconic acid; Hexonic acid; Maltonate; Maltonic acid; Pentahydroxycaproate; Pentahydroxycaproic acid",HMDB00625,C00257,
90,195.0511885,195.0512,TRUE,0.915606529,751379.6221,-0.000171135,C6H12O7,-H(-),100,Gulonic acid,D-Gulonate; D-Gulonic acid; Gulonate; L-Gulonate; L-Gulonic acid,HMDB03290,C00800,
91,198.0171342,198.0171,TRUE,0.56468749,10945.99398,0.000155147,C4H10NO6P,-H(-),100,Iminoerythrose 4-phosphate,,HMDB60483,C12215,
92,198.0882088,198.0882,TRUE,0.83657831,10155.93199,0.000196436,C8H13N3O3,-H(-),100,gamma-Glutamyl-beta-aminopropiononitrile,,HMDB60477,C06114,
93,198.1138591,198.1139,TRUE,0.544808179,2540.768236,-0.000301935,C10H17NO3,-H(-),100,Ecgonine methyl ester,Methyl ecgonine,HMDB06406,C12448,
94,199.1699799,199.17,TRUE,0.520527125,84579.33787,0.000369175,C12H24O2,-H(-),100,Dodecanoic acid,1-Undecanecarboxylate; 1-Undecanecarboxylic acid; ABL; Aliphat No. 4; Dodecanoate; Dodecanoic acid; Dodecylate; Dodecylic acid; Edenor C 1298-100; Emery 651; Hystrene 9512; Kortacid 1299; Laurate; Lauric acid; Laurostearate; Laurostearic acid; Lunac L 70; Lunac L 98; N-Dodecanoate; N-Dodecanoic acid; Neo-Fat 12; Neo-Fat 12-43; Nissan NAA 122; Philacid 1200; Prifac 2920; Univol U 314; Vulvate; Vulvic acid,HMDB00638,C02679,
95,202.108647,202.1086,TRUE,0.648404479,15656.32555,-0.000172294,C9H17NO4,-H(-),100,L-Acetylcarnitine,(+-)-Acetylcarnitine; (-)-Acetylcarnitine; (R)-Acetylcarnitine; ALCAR; Acetyl-L-(-)-carnitine; Acetyl-L-carnitine; Acetyl-carnitine; Acetylcarnitine; L-Acetylcarnitine; L-Carnitine acetyl ester; L-O-Acetylcarnitine; Levocarnitine acetyl; Nicetile; O-Acetyl-L-carnitine; O-Acetylcarnitine,HMDB00201,C02571,
96,203.0827324,203.0827,TRUE,0.655290693,71015.14563,-0.000139068,C11H12N2O2,-H(-),100,L-Tryptophan,(-)-tryptophan; (2S)-2-amino-3-(1H-indol-3-yl)propanoate; (2S)-2-amino-3-(1H-indol-3-yl)propanoic acid; (L)-tryptophan; (S)-1H-Indole-3-alanine; (S)-2-Amino-3-(3-indolyl)propionic acid; (S)-a-Amino-1H-indole-3-propanoate; (S)-a-Amino-1H-indole-3-propanoic acid; (S)-a-Aminoindole-3-propionate; (S)-a-Aminoindole-3-propionic acid; (S)-a-amino-b-indolepropionate; (S)-a-amino-b-indolepropionic acid; (S)-alpha-Amino-1H-indole-3-propanoate; (S)-alpha-Amino-1H-indole-3-propanoic acid; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid; (S)-alpha-Aminoindole-3-propionate; (S)-alpha-Aminoindole-3-propionic acid; (S)-alpha-amino-beta-indolepropionate; (S)-alpha-amino-beta-indolepropionic acid; (S)-tryptophan; 1-beta-3-Indolylalanine; 1H-Indole-3-Alanine; 1beta-3-Indolylalanine; 2-Amino-3-indolylpropanoate; 2-Amino-3-indolylpropanoic acid; 3-(1H-Indol-3-yl)-L-Alanine; 3-Indol-3-ylalanine; Ardeytropin; H-TRP-oh; Indole-3-alanine; Kalma; L-(-)-Tryptophan; L-Tryptofan; L-Tryptophan; L-Tryptophane; L-alpha-Amino-3-indolepropionic acid; L-alpha-Aminoindole-3-propionic acid; L-b-3-Indolylalanine; L-beta-3-Indolylalanine; Lopac-T-0254; Lyphan; Optimax; Pacitron; Sedanoct; Triptofano; Trofan; Tryptacin; Tryptan; Tryptophan; Tryptophane; Tryptophanum; alpha'-Amino-3-indolepropionic acid; alpha-Aminoindole-3-propionic acid,HMDB00929,C00078,
97,204.0670703,204.0671,TRUE,0.542888046,6247.92711,-0.0004607,C11H11NO3,-H(-),100,5-Methoxyindoleacetate,5-Methoxyindol-3-ylacetate; 5-Methoxyindol-3-ylacetic acid; 5-Methoxyindole-3-acetate; 5-Methoxyindole-3-acetic acid; 5-Methoxyindoleacetate; 5-Methoxyindoleacetic acid; Methoxyindoleacetate; Methoxyindoleacetic acid,HMDB04096,C05660,
98,209.0675969,209.0676,TRUE,0.713136613,10925.45842,-0.00093034,C7H14O7,-H(-),100,Sedoheptulose,Altro-Heptulose; D-Altro-2-heptulose; D-Altro-hept-2-ulose; Volemulose,HMDB03219,C02076,
